ym:s:visitID,ym:s:dateTime,ym:s:isNewUser,ym:s:visitDuration,ym:s:clientID,ym:s:lastTrafficSource
2.61306E+18,15/05/2019 11:53,1,3,1.55791E+18,ad
2.57954E+18,14/05/2019 00:22,1,29,1.539E+18,organic
2.78806E+18,23/05/2019 05:19,0,0,1.55858E+18,organic
2.45646E+18,08/05/2019 13:57,1,6,1.55731E+18,ad
2.0699E+18,21/04/2019 12:20,1,16,1.55584E+19,direct
1.64156E+18,02/04/2019 14:27,1,58,1.5542E+19,direct
1.67828E+18,04/04/2019 05:22,0,0,1.55434E+18,organic
2.9129E+18,28/05/2019 17:37,1,74,1.55905E+18,organic
1.95851E+18,16/04/2019 14:18,1,84,1.55541E+17,organic
2.63497E+18,16/05/2019 11:06,1,0,1.55799E+18,ad
2.27425E+18,30/04/2019 12:52,1,1391,1.55662E+19,referral
1.9793E+18,17/04/2019 12:20,1,12,1.55549E+18,direct
1.61003E+18,01/04/2019 05:02,1,34,1.55408E+18,internal
1.95261E+18,16/04/2019 08:03,1,50,1.54476E+18,direct
2.26931E+18,30/04/2019 07:39,1,22,1.54032E+18,ad
2.16753E+18,25/04/2019 19:48,1,62,1.55621E+18,ad
2.48957E+18,10/05/2019 01:02,0,0,1.55744E+18,referral
2.21426E+18,27/04/2019 21:18,1,16,1.55629E+18,referral
2.23208E+18,28/04/2019 16:11,0,4,1.54571E+18,direct
2.91326E+18,28/05/2019 18:00,1,1,1.55906E+18,ad
2.3249E+18,02/05/2019 18:33,1,514,1.55681E+19,organic
2.92835E+18,29/05/2019 09:59,1,22,1.55911E+18,ad
2.72191E+18,20/05/2019 07:14,1,16,1.55833E+18,organic
2.47358E+18,09/05/2019 08:06,1,11,1.55738E+18,referral
2.88128E+18,27/05/2019 08:06,1,20,1.55893E+18,organic
2.9247E+18,29/05/2019 06:07,0,16,1.5591E+18,referral
2.63677E+18,16/05/2019 13:01,1,0,1.55804E+18,ad
1.98867E+18,17/04/2019 22:16,0,1,1.55286E+18,direct
2.7772E+18,22/05/2019 17:49,1,15,1.55854E+18,organic
2.27419E+18,30/04/2019 12:49,1,0,1.55662E+19,referral
2.74982E+18,21/05/2019 12:48,1,68,1.55843E+18,referral
2.11892E+18,23/04/2019 16:17,1,5,1.55603E+19,referral
2.78167E+18,22/05/2019 22:33,1,19,1.55855E+18,organic
1.6393E+18,02/04/2019 12:03,1,62,1.5536E+17,direct
2.12052E+18,23/04/2019 17:59,1,278,1.55602E+18,ad
2.48217E+18,09/05/2019 17:11,0,0,1.53502E+18,ad
1.70859E+18,05/04/2019 13:29,0,15,1.55389E+18,direct
2.01317E+18,19/04/2019 00:13,1,17,1.55562E+18,ad
2.31679E+18,02/05/2019 09:57,1,95,1.55678E+18,ad
1.69251E+18,04/04/2019 20:26,1,15,1.5544E+18,organic
2.12012E+18,23/04/2019 17:33,0,1,1.55576E+18,ad
2.54551E+18,12/05/2019 12:19,1,111,1.55765E+18,referral
2.07332E+18,21/04/2019 15:58,1,0,1.55585E+18,direct
2.50126E+18,10/05/2019 13:25,1,15,1.55748E+18,direct
2.933E+18,29/05/2019 14:55,0,16,1.55913E+18,referral
2.81845E+18,24/05/2019 13:31,1,1,1.46899E+18,ad
2.59468E+18,14/05/2019 16:25,1,42,1.55784E+18,organic
2.81905E+18,24/05/2019 14:10,1,12,1.5587E+18,organic
1.82696E+18,10/04/2019 18:54,0,2,1.55442E+17,direct
2.59571E+18,14/05/2019 17:30,1,0,1.55784E+18,ad
1.77464E+18,08/04/2019 11:28,1,30,1.55471E+19,organic
2.61476E+18,15/05/2019 13:42,0,0,1.55318E+18,referral
